=====================================================================================
XYZ CORPORATE WELLNESS DASHBOARD - 50 EMPLOYEE LOGIN CREDENTIALS LIST
=====================================================================================

#   | EMP ID   | NAME                   | EMAIL                            | INITIAL PASSWORD / STATUS
-------------------------------------------------------------------------------------
1   | E023     | Priya Ramesh           | priya.ramesh@xyz.com             | Password123! (Pre-activated)
2   | EMP-001  | Mark Johnson           | mark.johnson1@xyz.com            | Password123! (First-time Setup)
3   | EMP-002  | Donald Walker          | donald.walker2@xyz.com           | Password123! (First-time Setup)
4   | EMP-003  | Nancy Rhodes           | nancy.rhodes3@xyz.com            | Password123! (First-time Setup)
5   | EMP-004  | Steven Miller          | steven.miller4@xyz.com           | Password123! (First-time Setup)
6   | EMP-005  | Jennifer Johnson       | jennifer.johnson5@xyz.com        | Password123! (First-time Setup)
7   | EMP-006  | Colleen Wagner         | colleen.wagner6@xyz.com          | Password123! (First-time Setup)
8   | EMP-007  | Alyssa Gonzalez        | alyssa.gonzalez7@xyz.com         | Password123! (First-time Setup)
9   | EMP-008  | Matthew Gardner        | matthew.gardner8@xyz.com         | Password123! (First-time Setup)
10  | EMP-009  | Connie Lawrence        | connie.lawrence9@xyz.com         | Password123! (First-time Setup)
11  | EMP-010  | Rhonda Smith           | rhonda.smith10@xyz.com           | Password123! (First-time Setup)
12  | EMP-011  | Renee Wolfe            | renee.wolfe11@xyz.com            | Password123! (First-time Setup)
13  | EMP-012  | Gina Moore             | gina.moore12@xyz.com             | Password123! (First-time Setup)
14  | EMP-013  | Tyler Rogers           | tyler.rogers13@xyz.com           | Password123! (First-time Setup)
15  | EMP-014  | Sarah Jenkins          | sarah.jenkins@xyz.com            | Password123! (First-time Setup)
16  | EMP-015  | Anna Davis             | anna.davis15@xyz.com             | Password123! (First-time Setup)
17  | EMP-016  | Sarah Munoz            | sarah.munoz16@xyz.com            | Password123! (First-time Setup)
18  | EMP-017  | Robert Blair           | robert.blair17@xyz.com           | Password123! (First-time Setup)
19  | EMP-018  | Joshua Dudley          | joshua.dudley18@xyz.com          | Password123! (First-time Setup)
20  | EMP-019  | James Arnold           | james.arnold19@xyz.com           | Password123! (First-time Setup)
21  | EMP-020  | Sandra Montgomery      | sandra.montgomery20@xyz.com      | Password123! (First-time Setup)
22  | EMP-021  | Scott Ray              | scott.ray21@xyz.com              | Password123! (First-time Setup)
23  | EMP-022  | Michael Williams       | michael.williams22@xyz.com       | Password123! (First-time Setup)
24  | EMP-024  | Crystal Roberts        | crystal.roberts24@xyz.com        | Password123! (First-time Setup)
25  | EMP-025  | Angela Hall            | angela.hall25@xyz.com            | Password123! (First-time Setup)
26  | EMP-026  | Brian Ramirez          | brian.ramirez26@xyz.com          | Password123! (First-time Setup)
27  | EMP-027  | Mark Diaz              | mark.diaz27@xyz.com              | Password123! (First-time Setup)
28  | EMP-028  | Jacob Clark            | jacob.clark28@xyz.com            | Password123! (First-time Setup)
29  | EMP-029  | Derek Zuniga           | derek.zuniga29@xyz.com           | Password123! (First-time Setup)
30  | EMP-030  | Maria Lynch            | maria.lynch30@xyz.com            | Password123! (First-time Setup)
31  | EMP-031  | Christopher Daniel     | christopher.daniel31@xyz.com     | Password123! (First-time Setup)
32  | EMP-032  | Christopher Gray       | christopher.gray32@xyz.com       | Password123! (First-time Setup)
33  | EMP-033  | William Bowman         | william.bowman33@xyz.com         | Password123! (First-time Setup)
34  | EMP-034  | Kristin Cohen          | kristin.cohen34@xyz.com          | Password123! (First-time Setup)
35  | EMP-035  | Sarah Parsons          | sarah.parsons35@xyz.com          | Password123! (First-time Setup)
36  | EMP-036  | Crystal Johnson        | crystal.johnson36@xyz.com        | Password123! (First-time Setup)
37  | EMP-037  | Emily Adams            | emily.adams37@xyz.com            | Password123! (First-time Setup)
38  | EMP-038  | Daniel Hahn            | daniel.hahn38@xyz.com            | Password123! (First-time Setup)
39  | EMP-039  | Shawn Edwards          | shawn.edwards39@xyz.com          | Password123! (First-time Setup)
40  | EMP-040  | Mary Foster            | mary.foster40@xyz.com            | Password123! (First-time Setup)
41  | EMP-041  | Thomas Ellis           | thomas.ellis41@xyz.com           | Password123! (First-time Setup)
42  | EMP-042  | Deborah Wright         | deborah.wright42@xyz.com         | Password123! (First-time Setup)
43  | EMP-043  | Justin Baker           | justin.baker43@xyz.com           | Password123! (First-time Setup)
44  | EMP-044  | Kevin Hurst            | kevin.hurst44@xyz.com            | Password123! (First-time Setup)
45  | EMP-045  | Jennifer Robinson      | jennifer.robinson45@xyz.com      | Password123! (First-time Setup)
46  | EMP-046  | Yolanda Hicks          | yolanda.hicks46@xyz.com          | Password123! (First-time Setup)
47  | EMP-047  | Ann Williams           | ann.williams47@xyz.com           | Password123! (First-time Setup)
48  | EMP-048  | Ashley Burton          | ashley.burton48@xyz.com          | Password123! (First-time Setup)
49  | EMP-049  | Ricky Henderson        | ricky.henderson49@xyz.com        | Password123! (First-time Setup)
50  | EMP-050  | Arthur James           | arthur.james50@xyz.com           | Password123! (First-time Setup)
=====================================================================================
